"plot","treatment","date","collar","time","vwc1","vwc2","vwc3","mean_vwc","soil_temp_c","mean_depth"
10,"control",2025-05-29,"B",NA,14.5,16.9,16.2,15.8666666666667,16,5.35
10,"control",2025-05-29,"C",NA,17.6,13.6,19.3,16.8333333333333,16,5.3125
11,"slurry",2025-05-29,"A",NA,19.3,17,19,18.4333333333333,16.4,6.0625
11,"slurry",2025-05-29,"B",NA,19.5,18,22.4,19.9666666666667,16.1,6
11,"slurry",2025-05-29,"C",NA,15.1,22.9,18.5,18.8333333333333,16.2,5.1875
12,"slurry",2025-05-29,"A",NA,12.8,14.8,16.4,14.6666666666667,16.5,6.4375
12,"slurry",2025-05-29,"B",NA,15.3,15.1,16,15.4666666666667,16.3,5.625
12,"slurry",2025-05-29,"C",NA,17.9,22,16.2,18.7,16.8,4.875
13,"slurry",2025-05-29,"A",NA,11.9,11.6,10.8,11.4333333333333,16.2,6.5
13,"slurry",2025-05-29,"B",NA,10.2,13.8,20.9,14.9666666666667,16,6.25
13,"slurry",2025-05-29,"C",NA,15.1,16.9,15.1,15.7,16.1,5.375
14,"compost",2025-05-29,"A",NA,13.4,14.6,17.3,15.1,16.4,5.3125
14,"compost",2025-05-29,"B",NA,16.3,14.3,18.3,16.3,16.4,6.375
14,"compost",2025-05-29,"C",NA,17.3,17.1,16.2,16.8666666666667,16.2,6.8125
15,"control",2025-05-29,"A",NA,15.9,16.6,14.9,15.8,16.9,5.375
15,"control",2025-05-29,"B",NA,24.5,16.1,12.8,17.8,16.6,6.4375
15,"control",2025-05-29,"C",NA,16.2,15.3,15.5,15.6666666666667,17.2,6.125
1,"slurry",2025-05-30,"A",NA,15.4,NA,NA,15.4,17.8,6.075
1,"slurry",2025-05-30,"B",NA,11.8,NA,NA,11.8,18.2,6.075
1,"slurry",2025-05-30,"C",NA,17.9,NA,NA,17.9,18.3,5.375
2,"control",2025-05-30,"A",NA,12.3,NA,NA,12.3,18.7,5.95
2,"control",2025-05-30,"B",NA,13.3,NA,NA,13.3,18.6,5.6
2,"control",2025-05-30,"C",NA,12.5,NA,NA,12.5,19.8,6.1
3,"compost",2025-05-30,"A",NA,17.5,NA,NA,17.5,17.9,5.775
3,"compost",2025-05-30,"B",NA,18.5,NA,NA,18.5,18.4,5.3
3,"compost",2025-05-30,"C",NA,17.3,NA,NA,17.3,17.8,6.475
4,"compost",2025-05-30,"A",NA,14.8,NA,NA,14.8,18,5.9
4,"compost",2025-05-30,"B",NA,10.2,NA,NA,10.2,17.9,5.925
4,"compost",2025-05-30,"C",NA,14.1,NA,NA,14.1,18.3,5.675
5,"control",2025-05-30,"A",NA,10.4,NA,NA,10.4,18.9,5.475
5,"control",2025-05-30,"B",NA,10.7,NA,NA,10.7,18.1,5.95
5,"control",2025-05-30,"C",NA,11.9,NA,NA,11.9,18.5,6.35
6,"slurry",2025-05-30,"A",NA,19.6,NA,NA,19.6,18.5,5.275
6,"slurry",2025-05-30,"B",NA,12.3,NA,NA,12.3,18.2,7.475
6,"slurry",2025-05-30,"C",NA,19.4,NA,NA,19.4,18.4,6.525
7,"control",2025-05-30,"A",NA,10.7,NA,NA,10.7,19.8,5.9
7,"control",2025-05-30,"B",NA,8.9,NA,NA,8.9,18.7,6.4
7,"control",2025-05-30,"C",NA,15.4,NA,NA,15.4,18.2,6.075
8,"compost",2025-05-30,"A",NA,12.7,NA,NA,12.7,19.6,6.075
8,"compost",2025-05-30,"B",NA,13.8,NA,NA,13.8,18.9,6.425
8,"compost",2025-05-30,"C",NA,15.7,NA,NA,15.7,20.3,6.25
9,"compost",2025-05-30,"A",NA,13.2,NA,NA,13.2,19.2,5.975
9,"compost",2025-05-30,"B",NA,14.5,NA,NA,14.5,18.5,6.1
9,"compost",2025-05-30,"C",NA,16.9,NA,NA,16.9,19.5,5.875
10,"control",2025-05-30,"A",NA,12,NA,NA,12,18.6,6.475
10,"control",2025-05-30,"B",NA,12.3,NA,NA,12.3,18.8,5.35
10,"control",2025-05-30,"C",NA,14.4,NA,NA,14.4,18.9,5.3125
11,"slurry",2025-05-30,"A",NA,10.7,NA,NA,10.7,20.3,6.0625
11,"slurry",2025-05-30,"B",NA,12.9,NA,NA,12.9,18.8,6
11,"slurry",2025-05-30,"C",NA,18.2,NA,NA,18.2,18.7,5.1875
12,"slurry",2025-05-30,"A",NA,16,NA,NA,16,19.4,6.4375
12,"slurry",2025-05-30,"B",NA,16.6,NA,NA,16.6,18.3,5.625
12,"slurry",2025-05-30,"C",NA,15.8,NA,NA,15.8,19.4,4.875
13,"slurry",2025-05-30,"A",NA,16.3,NA,NA,16.3,20.7,6.5
13,"slurry",2025-05-30,"B",NA,14.2,NA,NA,14.2,19.4,6.25
13,"slurry",2025-05-30,"C",NA,13.2,NA,NA,13.2,20.4,5.375
14,"compost",2025-05-30,"A",NA,12.7,NA,NA,12.7,19.4,5.3125
14,"compost",2025-05-30,"B",NA,16.3,NA,NA,16.3,19.4,6.375
14,"compost",2025-05-30,"C",NA,11.9,NA,NA,11.9,19.9,6.8125
15,"control",2025-05-30,"A",NA,12.2,NA,NA,12.2,20,5.375
15,"control",2025-05-30,"B",NA,15.3,NA,NA,15.3,21.1,6.4375
15,"control",2025-05-30,"C",NA,16.5,NA,NA,16.5,21.2,6.125
1,"slurry",2025-06-03,"A",NA,29.9,NA,NA,29.9,18.8,6.075
1,"slurry",2025-06-03,"B",NA,17.6,NA,NA,17.6,19.4,6.075
1,"slurry",2025-06-03,"C",NA,22.7,NA,NA,22.7,19.4,5.375
2,"control",2025-06-03,"A",NA,22.1,NA,NA,22.1,18.2,5.95
2,"control",2025-06-03,"B",NA,23.4,NA,NA,23.4,18,5.6
2,"control",2025-06-03,"C",NA,14.9,NA,NA,14.9,17.5,6.1
3,"compost",2025-06-03,"A",NA,28,NA,NA,28,20.6,5.775
3,"compost",2025-06-03,"B",NA,25.4,NA,NA,25.4,18.6,5.3
3,"compost",2025-06-03,"C",NA,27.6,NA,NA,27.6,17.9,6.475
4,"compost",2025-06-03,"A",NA,16.4,NA,NA,16.4,18,5.9
4,"compost",2025-06-03,"B",NA,20.9,NA,NA,20.9,18.4,5.925
4,"compost",2025-06-03,"C",NA,20.1,NA,NA,20.1,19,5.675
5,"control",2025-06-03,"A",NA,19.2,NA,NA,19.2,18.7,5.475
