"plot","treatment"
1,"slurry"
2,"control"
3,"compost"
4,"compost"
5,"control"
6,"slurry"
7,"control"
8,"compost"
9,"compost"
10,"control"
11,"slurry"
12,"slurry"
13,"slurry"
14,"compost"
15,"control"
