"plot","treatment","replicate","sampling_date","wet_mass_g","dry_mass_g","dry_matter_pct","dry_matter_g_m2"
1,"slurry","1",2025-10-24,187,78,0.4171122995,156
2,"control","1",2025-10-24,174,86,0.4942528736,172
3,"compost","1",2025-10-24,225,99,0.44,198
4,"compost","1",2025-10-24,182,86,0.4725274725,172
5,"control","1",2025-10-24,170,97,0.5705882353,194
6,"slurry","1",2025-10-24,239,127,0.5313807531,254
7,"control","1",2025-10-24,284,155,0.5457746479,310
8,"compost","1",2025-10-24,198,119,0.601010101,238
9,"compost","1",2025-10-24,293,141,0.4812286689,282
10,"control","1",2025-10-24,233,131,0.5622317597,262
11,"slurry","1",2025-10-24,282,120,0.4255319149,240
12,"slurry","1",2025-10-24,236,116,0.4915254237,232
13,"slurry","1",2025-10-24,271,139,0.5129151292,278
14,"compost","1",2025-10-24,237,125,0.5274261603,250
15,"control","1",2025-10-24,170,102,0.6,204
