"plot","treatment","timepoint","replicate","sir_ug_co2c_hr_g","method","flag"
1,"slurry",2,"A",5.85667359415277,"IRGA",NA
1,"slurry",2,"B",3.91265610950339,"IRGA",NA
2,"control",2,"A",5.8009107979838,"IRGA",NA
2,"control",2,"B",5.72085230005111,"IRGA",NA
3,"compost",2,"A",4.09741511239168,"IRGA",NA
3,"compost",2,"B",5.22798033569134,"IRGA",NA
4,"compost",2,"A",4.83576747781191,"IRGA",NA
4,"compost",2,"B",5.20973014401214,"IRGA",NA
5,"control",2,"A",5.24153714656611,"IRGA",NA
5,"control",2,"B",4.13028647960204,"IRGA",NA
6,"slurry",2,"A",4.89321950907677,"IRGA",NA
6,"slurry",2,"B",5.64778543808057,"IRGA",NA
7,"control",2,"A",5.65831597365223,"IRGA",NA
7,"control",2,"B",5.44315929530623,"IRGA",NA
8,"compost",2,"A",5.27025415195733,"IRGA",NA
8,"compost",2,"B",4.76841991217953,"IRGA",NA
9,"compost",2,"A",5.17698363096101,"IRGA",NA
9,"compost",2,"B",5.53721458856176,"IRGA",NA
10,"control",2,"A",5.07164664952766,"IRGA",NA
10,"control",2,"B",6.37956344374248,"IRGA",NA
11,"slurry",2,"A",7.4295314053615,"IRGA",NA
11,"slurry",2,"B",6.00431578974496,"IRGA",NA
12,"slurry",2,"A",5.98245675050949,"IRGA",NA
12,"slurry",2,"B",6.50429419427375,"IRGA",NA
13,"slurry",2,"A",6.25770136604984,"IRGA",NA
13,"slurry",2,"B",6.70593523971977,"IRGA",NA
14,"compost",2,"A",5.81427695177168,"IRGA",NA
14,"compost",2,"B",6.03556537779394,"IRGA",NA
15,"control",2,"A",6.14162381044973,"IRGA",NA
15,"control",2,"B",5.53166610824697,"IRGA",NA
1,"slurry",3,"A",4.57071580509549,"IRGA",NA
1,"slurry",3,"B",3.80778756702125,"IRGA",NA
2,"control",3,"A",3.76668122497715,"IRGA",NA
2,"control",3,"B",3.61885006994029,"IRGA",NA
3,"compost",3,"A",4.11346758686737,"IRGA",NA
3,"compost",3,"B",4.10451351329162,"IRGA",NA
4,"compost",3,"A",3.05046886804966,"IRGA",NA
4,"compost",3,"B",4.56086764494818,"IRGA",NA
5,"control",3,"A",4.8749583304584,"IRGA",NA
5,"control",3,"B",4.53693111547513,"IRGA",NA
6,"slurry",3,"A",3.5645403879328,"IRGA",NA
6,"slurry",3,"B",3.76785930486964,"IRGA",NA
7,"control",3,"A",2.79825162233527,"IRGA",NA
7,"control",3,"B",3.23433857628196,"IRGA",NA
8,"compost",3,"A",3.65940052918296,"IRGA",NA
8,"compost",3,"B",3.91686040485569,"IRGA",NA
9,"compost",3,"A",4.07824032088211,"IRGA",NA
9,"compost",3,"B",3.60800932148736,"IRGA",NA
10,"control",3,"A",4.68974304911135,"IRGA",NA
10,"control",3,"B",4.10952687401081,"IRGA",NA
11,"slurry",3,"A",4.04136645178793,"IRGA",NA
11,"slurry",3,"B",5.28577499169887,"IRGA",NA
12,"slurry",3,"A",4.61439494513009,"IRGA",NA
12,"slurry",3,"B",4.13710493486173,"IRGA",NA
13,"slurry",3,"A",3.8626213270057,"IRGA",NA
13,"slurry",3,"B",4.04799701677096,"IRGA",NA
14,"compost",3,"A",4.49596307027498,"IRGA",NA
14,"compost",3,"B",4.62029487486432,"IRGA",NA
15,"control",3,"A",3.99944797655857,"IRGA",NA
15,"control",3,"B",3.08562239760821,"IRGA",NA
2,"control",1,"A",5.11919434321458,"LGR",NA
3,"compost",1,"B",4.25222167732775,"LGR",NA
4,"compost",1,"A",6.14648871920838,"LGR",NA
4,"compost",1,"B",6.32558053218959,"LGR",NA
5,"control",1,"A",4.03133219443398,"LGR",NA
5,"control",1,"B",5.24852729815025,"LGR",NA
6,"slurry",1,"A",4.98567956880745,"LGR",NA
6,"slurry",1,"B",4.59359542633446,"LGR",NA
7,"control",1,"A",5.51838596459051,"LGR",NA
7,"control",1,"B",6.52212979771511,"LGR",NA
8,"compost",1,"A",4.69241111079989,"LGR",NA
8,"compost",1,"B",5.29812457682075,"LGR",NA
9,"compost",1,"A",4.07270672801591,"LGR",NA
9,"compost",1,"B",5.82456107879643,"LGR",NA
10,"control",1,"A",4.00895583778366,"LGR",NA
10,"control",1,"B",4.76272045779182,"LGR",NA
11,"slurry",1,"A",7.00435814319734,"LGR",NA
11,"slurry",1,"B",5.7437378147368,"LGR",NA
12,"slurry",1,"A",6.27460106111223,"LGR",NA
12,"slurry",1,"B",7.85120262400162,"LGR",NA
13,"slurry",1,"A",6.61843757012904,"LGR",NA
13,"slurry",1,"B",5.92869208691271,"LGR",NA
14,"compost",1,"A",5.95643998401404,"LGR",NA
14,"compost",1,"B",6.47588100424757,"LGR",NA
15,"control",1,"A",3.65950329657211,"LGR",NA
15,"control",1,"B",6.44391792065059,"LGR",NA
