treatment,date_printed,sample_number,material,plot_number,moisture,drymatter,crudeprotein,availprotein,ADICP,adjcrudeprotein,ADF,aNDF,crudefat,TDN,unknown,unknown,unknown,calcium,phosphorus,magnesium,potassium,sulfur,RFV,ash,degradableprotein_percCP,chloride,unknown,unknown,solubleprotein_percCP,lignin,NDICP,starch,NFC,watersolcarbs,simplesugars
slurry,1/23/26,1,MMG PASTURE,1,6.4,93.6,9.2,7.6,1.6,8.6,50.9,67.2,3.2,49,0.41,0.39,0.14,1.37,0.22,0.14,0.56,0.17,68,3.81,60,0.33,0.94,4,48,13.7,4,1.3,16.6,7.1,2.7
control,1/23/26,2,MMG PASTURE,2,6.5,93.6,9.3,7.5,1.9,8.5,45.9,65.2,3.1,50,0.42,0.39,0.15,1.48,0.12,0.21,0.67,0.19,76,7.51,58,0.29,0.9,4,38,10.4,2.6,0.7,14.9,4.8,3
compost,1/23/26,3,MMG PASTURE,3,5.7,94.3,10.1,8.7,1.4,10.1,42.8,53.3,3.3,51,0.49,0.42,0.18,1.88,0.2,0.25,0.73,0.31,97,11.61,61,0.36,0.95,4,36,10.3,2.9,0.9,21.7,8.8,5.1
compost,1/23/26,4,MMG PASTURE,4,7.6,92.5,11.2,9.5,1.7,10.5,44.4,61.1,4,54,0.49,0.47,0.22,1.07,0.24,0.18,0.56,0.22,83,7.17,54,0.43,0.96,4,36,9.8,4.9,0.2,16.5,7.4,3.3
control,1/23/26,5,MMG PASTURE,5,6,94,9.3,8.6,0.7,9.3,48.9,66,3.1,51,0.43,0.41,0.17,1.32,0.23,0.19,0.62,0.21,72,6.71,61,0.35,0.9,4,44,11,3.8,0.2,14.8,6.4,2.3
slurry,1/23/26,6,MMG PASTURE,6,6.7,93.3,12.6,9.7,2.9,10.7,43,60.3,4.3,50,0.46,0.41,0.16,1.11,0.25,0.23,0.92,0.28,85,10.54,61,0.52,0.9,3,26,10.3,4.7,1.1,12.2,5.3,2.3
control,1/23/26,7,MMG PASTURE,7,6.6,93.4,11.1,9.1,2,10.1,43.7,68.6,2.7,52,0.41,0.42,0.17,0.9,0.23,0.2,0.85,0.14,74,6.16,55,0.22,0.88,4,34,9.2,5.8,0.2,11.5,6.4,2.7
compost,1/23/26,8,MMG PASTURE,8,5.4,94.6,8.6,7,1.6,8,46.5,72.6,2.6,49,0.36,0.38,0.14,1.08,0.3,0.19,0.7,0.17,67,4.43,49,0.16,0.88,3,31,11,4.2,0.2,11.8,5.4,1
compost,1/23/26,9,MMG PASTURE,9,6.9,93.1,10.5,8.6,1.9,9.6,45,69.4,3.9,49,0.39,0.39,0.15,0.99,0.25,0.28,0.58,0.26,72,7.79,64,0.45,0.85,4,34,10.5,4.7,0.2,8.4,4.4,2.3
control,1/23/26,10,MMG PASTURE,10,7,93,8,6.6,1.4,8,42,67.5,3.7,54,0.45,0.47,0.22,0.99,0.27,0.23,0.94,0.21,77,5.93,53,0.25,0.93,3,37,8.4,3.3,0.2,15,8.8,4.6
slurry,1/23/26,11,MMG PASTURE,11,5.6,94.4,9.1,6.8,2.3,7.8,50,63.4,4.1,44,0.39,0.31,0.07,1.73,0.15,0.18,0.35,0.2,73,9.55,59,0.18,0.88,3,32,15.4,3.8,0.6,13.8,4.9,1.9
slurry,1/23/26,12,MMG PASTURE,12,6.7,93.3,7.7,6.2,1.5,7.2,50,66.4,4.2,51,0.43,0.43,0.18,1.25,0.15,0.23,0.36,0.25,70,5.3,56,0.27,0.94,3,41,12,3.3,0.2,16.4,5.8,3.1
slurry,1/23/26,13,MMG PASTURE,13,5.6,94.5,8.6,7.3,1.3,8.6,46.9,70,2.6,49,0.38,0.38,0.13,1.06,0.2,0.2,1.05,0.22,70,7.13,51,0.62,0.85,3,33,10.2,4.5,0.4,11.7,7.2,2.7
compost,1/23/26,14,MMG PASTURE,14,6.8,93.2,9.3,7.7,1.6,8.7,47.9,67.7,3.4,49,0.4,0.38,0.13,1.56,0.18,0.21,0.16,0.27,71,7.64,56,0.12,0.87,4,40,11.1,3.7,0.2,12,4.8,1.6
control,1/23/26,15,MMG PASTURE,15,5.9,94.1,8.2,6.1,2.1,7.1,40.6,73,3,56,0.4,0.48,0.23,0.56,0.29,0.21,0.8,0.14,73,6.18,66,0.21,0.86,3,33,5.6,4.5,0.3,9.6,5.6,3.7
